Apps_for_Android games:2537037.106 play:2247115.186 graphics:1713265.448 kindle:1623429.542 addicting:1242808.218 addictive:1035936.044 challenging:992713.5394 coins:955141.6797 fire:873237.7714 playing:858860.1408 puzzles:685415.5497 apps:581592.884 levels:524737.6223 free:501002.7282 download:468874.6801 downloaded:401933.9544 ads:391326.5745 bingo:326777.7663 gameplay:292273.0536 flappy:278066.6912 uninstalled:268092.4271 facebook:244862.8002 mahjong:224833.1723 solitaire:208979.8429 puzzle:202466.7491 played:195723.3961 faotd:192946.7263 waster:191535.2532 deleted:177813.0079 bought:177044.8174 android:167433.6188 minecraft:151811.8195 permissions:150550.721 quality:149208.721 earn:147636.8012 glitches:146220.3342 price:143873.8302 delete:140480.6472 author:135121.9124 made:132578.2202 challenge:132521.7696 reading:132386.7102 addicted:131976.0231 years:129977.8912 fit:125061.1096 freezes:124941.4587 uninstall:115769.5841 unlock:115529.3259 characters:111292.4771 series:110420.0177 downloading:109572.8789 written:106710.5702 multiplayer:103978.0854 hints:94662.74686 size:91927.69473 brain:89846.10041 crashes:88833.95878 logos:88734.40984 bored:88520.25533 appstore:87729.09467 awesome:87075.0368 end:86583.0092 sims:86515.18481 developer:86228.95822 put:86093.64672 small:85847.00077 back:85710.08068 perfect:83950.83709 feel:83251.68009 light:82042.83125 apos:78491.83203 temple:73684.3592 tetris:73628.03792 ordered:73215.71053 gameloft:71976.95883	
Automotive honda:899891.5906 vehicle:849301.5182 jeep:790102.3745 oem:755344.2652 toyota:715339.0392 installed:635971.7882 engine:597462.8348 headlights:510657.3772 wiper:461613.731 dealer:436119.2331 dealership:402704.267 tire:360453.0969 fit:356697.264 chevy:355170.1341 brake:353076.897 installation:340952.2392 ford:329914.1507 tires:328746.775 headlight:324946.1917 wipers:319042.8574 bmw:301157.7093 rear:301095.8596 nissan:297601.3214 windshield:296184.0012 mats:287368.2587 hitch:270319.1488 mpg:267696.7128 dodge:266542.1675 factory:258812.1022 vehicles:251335.8452 silverado:249077.326 mechanic:248847.5125 lights:239934.1553 exhaust:237077.9335 passenger:235748.4621 bolts:222091.4732 steering:219603.9392 muffler:211049.1408 motorcycle:208974.0434 bumper:206088.5958 cars:199794.938 rotors:199640.0571 filter:197924.0175 helmet:195749.4426 mazda:194960.5633 trailer:193587.7027 gmc:192902.6918 subaru:191723.0966 wrangler:188869.7863 tailgate:184867.1283 camry:183925.8628 fuel:181699.4216 wheel:167741.0954 autozone:164132.7643 bolt:163948.4388 civic:162273.9541 decal:157593.2548 tacoma:156741.1543 dorman:154908.425 vw:151956.2045 weathertech:148025.6037 corolla:146642.2849 auto:143855.0535 radiator:142288.8643 stock:138958.3766 obd:135003.668 wiring:130797.9514 sticker:129467.0494 kit:129263.7233 towing:127195.1468 delco:124619.3088 struts:123710.6399 gasket:122620.0684 inverter:120563.5693 rv:119622.2947	
Baby crib:2667936.396 diaper:2492661.108 diapers:1274764.928 seat:1200896.751 graco:989622.5628 infant:940272.3512 carseat:894780.6349 sippy:837571.8942 britax:823530.9466 newborn:815352.497 medela:754043.8497 babies:742670.1466 nipple:679658.8748 strollers:658870.7776 avent:641923.6368 bassinet:604830.9052 nipples:582201.7664 teething:580376.4742 toddler:561002.1627 pacifier:554832.9526 son:510071.7782 pacifiers:473680.7945 bottles:468078.062 swaddle:458391.6874 teether:445377.4968 daughter:424089.9864 nursery:403663.2176 gate:389895.3663 seats:387514.415 recline:366439.5244 potty:363338.8534 blanket:360589.3831 toys:350896.3172 chicco:338402.0611 month:334549.429 months:322878.6326 highchair:311735.785 booster:291804.3497 bib:279423.8028 chair:279181.8284 boppy:257993.2202 blankets:252045.8482 bjorn:247854.4124 wipes:244683.0165 evenflo:242209.9142 swaddling:238400.9709 loves:235769.5155 breast:222465.1684 playtex:220618.9881 soft:216373.8896 child:211046.8193 diapering:200891.6739 nuk:200157.0002 bouncer:199017.3834 mattress:195426.6947 swaddled:187684.6213 prefolds:184303.9987 wash:183781.9046 carrier:183683.0988 teethers:173760.1135 burp:167968.6805 tub:167559.2712 breastfeeding:159321.9469 tray:159090.8423 cute:156977.449 thirsties:155404.3952 cribs:155254.5939 latch:152949.9008 straps:151685.369 reclines:151271.6704 milk:150512.5395 sleep:149742.8642 paci:148522.9311 pail:148346.6507 feeding:145914.6676	
Beauty scent:2505495.685 shampoo:2470819.336 lotion:2216207.275 smells:2102912.922 conditioner:1836080.075 smell:1687045.301 fragrance:1672830.527 moisturizer:1552949.451 greasy:1485301.289 perfume:1461724.094 oily:1401379.808 makeup:1363767.424 dry:1288295.777 acne:1268801.176 curly:1105315.343 scalp:1008692.54 cream:909831.642 salon:851523.7506 mascara:843802.732 curls:799127.17 products:787354.8937 brush:779472.4935 moisturizing:774593.1782 bottle:757981.296 cologne:736128.5779 frizzy:723963.4644 lashes:718491.0392 cleanser:717300.9098 nail:708955.6679 serum:686491.5731 frizz:679234.6154 nails:642905.9202 polish:637716.5284 pores:610978.7607 sunscreen:592058.8654 face:569787.6086 brushes:523096.6825 tanning:503835.0413 soap:493001.3968 spf:459247.3557 lotions:456884.3445 oil:448821.635 wavy:446605.3179 moisturized:443322.6618 shampoos:436119.704 drying:430902.0151 breakouts:419785.2275 natural:419130.0647 straightener:390272.3932 silky:387265.4826 soft:385009.7296 concealer:381236.3786 comb:376460.1511 gel:360064.7309 dryer:358895.2079 apply:358176.8571 creams:355108.6077 curl:350055.0395 curling:349031.3874 dries:346980.1295 wash:336390.7521 eyeliner:328364.0891 dermatologist:322824.8305 spray:320815.0384 facial:317191.865 opi:313098.9139 shiny:312257.5988 argan:300874.7696 scents:293439.3388 olay:289400.0636 color:289318.973 eyeshadow:289052.3904 sensitive:287696.3428 shower:286970.9761 smooth:286271.2578	
Book author:6326826.491 reading:6206104.023 characters:4677205.091 written:4181523.689 reader:2776905.308 series:2710623.669 writing:2452095.914 interesting:2381976.822 stories:2187352.065 world:2111926.435 pages:2080150.746 enjoyed:2053247.378 character:1889458.72 history:1864811.711 information:1755622.999 page:1738118.551 readers:1612977.526 chapter:1522686.218 plot:1431264.499 price:1294860.723 authors:1291582.057 people:1264599.643 quality:1209839.901 understand:1162831.356 romance:1143852.751 chapters:1119490.724 lives:1103705.903 fiction:1089475.783 writer:1059355.533 learn:1049291.321 end:1038610.629 novels:1037644.219 mystery:1001237.465 fit:986281.4167 ending:971008.3214 loved:927667.0922 historical:922054.8257 relationship:912113.3702 god:903589.116 understanding:903114.1653 man:900320.4603 interested:892990.3374 ideas:883863.8913 family:881152.3852 human:854265.0001 bought:851943.6213 subject:844075.0059 young:842569.2282 war:826590.0718 size:812647.052 interest:772926.1571 writes:752452.7757 guide:736236.2685 tale:735533.3446 works:726230.3674 knowledge:725474.5437 children:725460.9712 woman:718544.5544 journey:714183.9361 events:709810.6128 fascinating:708820.4647 wait:708560.4996 heart:702255.4502 text:699898.4837 finished:692542.9185 insight:689693.3067 published:689160.5871 things:679682.1291 examples:677054.9579 beginning:674296.4303 forward:673988.7047 sense:663383.3285 found:663223.0099 questions:663215.1377 personal:657481.8524	
CDs_and_Vinyl music:13157686.54 albums:7261002.422 tracks:6142865.481 listen:5520855.49 lyrics:5269633.779 band:4972225.254 rock:4314414.325 vocals:4107893.936 track:3647365.688 listening:3441267.855 heard:3262719.583 recording:3063421.56 voice:2971410.617 sound:2740244.219 musical:2470999.721 singing:2348940.416 quot:2215094.535 sounds:2193445.802 recordings:2179367.342 recorded:2166537.258 record:2032272.559 singer:2019828.536 vocal:1951824.747 tunes:1912413.087 jazz:1899423.53 bands:1891763.792 solo:1872866.266 hear:1840733.539 disc:1822670.958 cds:1741097.653 sing:1637764.147 listened:1617123.393 catchy:1601535.689 blues:1546441.21 pop:1511012.742 concert:1490373.35 release:1466086.994 musicians:1430922.815 piano:1418385.675 melodies:1352990.515 melodic:1313842.533 fan:1296926.832 artists:1296681.161 hits:1252388.247 released:1234889.893 fans:1230675.277 orchestra:1206249.64 drums:1203158.89 collection:1198856.761 sings:1141809.998 ballad:1140212.013 instrumental:1097721.857 singers:1091072.165 listener:1083434.057 records:1066835.404 soundtrack:1062169.339 ballads:1038266.79 chorus:1024212.844 lp:1011449.675 riffs:1009719.986 dance:997544.6908 artist:984192.116 acoustic:955397.0343 melody:948977.728 punk:925793.9793 guitars:917089.0928 production:902909.2755 arrangements:896478.6901 musically:869751.97 live:864546.2331 classic:860471.1205 songwriting:840566.6803 bass:829582.4992 sung:823182.5216 studio:817239.7861	
Cell_Phones_and_Accessorie iphone:4478166.275 screen:2210552.906 protector:2031946.264 charger:1737448.623 galaxy:1385496.369 otterbox:1335937.805 charge:1279298.266 phones:1100108.371 protection:1085014.311 battery:1013109.348 samsung:959285.9446 charging:954538.1284 cases:923982.323 dropped:878567.1799 protects:824654.6128 htc:809200.0017 protectors:784761.1744 fits:760653.6293 bluetooth:591852.6173 cell:588250.968 headset:580058.5963 verizon:565499.0949 otter:543873.2479 bubbles:483507.8342 bulky:463680.7815 buttons:460886.9451 motorola:460589.939 stylus:452177.3532 droid:446343.4281 cover:430612.2923 protect:424897.1675 nokia:396266.7344 charges:386619.7201 pocket:386556.4836 blackberry:372028.9171 kickstand:368603.0204 rubber:360176.8039 protected:340637.2838 protective:339059.9871 lg:331243.7663 chargers:325550.6368 holster:311725.7169 clip:291773.1207 sim:290714.8092 fit:287264.1104 defender:271542.6276 scratches:270085.1435 charged:259648.051 nexus:259551.1049 drop:245714.3495 usb:241746.2645 rubberized:232672.5996 razr:229905.9826 slim:228297.9244 tpu:218007.126 sprint:215165.9457 perfectly:215110.2069 silicone:212668.2419 plastic:209060.9688 smartphone:203217.4013 ear:203030.9102 gs:201347.1705 reading:199829.1267 evo:198631.135 characters:198539.7822 device:198407.5734 button:198039.3061 spigen:186337.7239 mobile:185680.6133 broke:184279.0106 author:182515.5083 port:181124.7078 iphones:175471.3876 bulk:175008.8657 edges:166575.3082	
Clothing_Shoes_and_Jewelry comfortable:4461890.097 shoe:4216298.273 size:3537183.431 fit:2789245.367 pair:2440774.867 boots:2267104.414 wearing:1860317.924 shirt:1829290.264 dress:1654765.899 jeans:1198738.135 feet:1176860.93 earrings:1172819.645 worn:1169084.62 heel:1065372.33 wore:1035598.979 socks:980434.9718 bra:906315.0064 sandals:896017.7154 necklace:869353.3192 compliments:864167.6393 costume:848951.9737 comfy:829996.7895 pants:796244.2605 bracelet:778783.3995 sizing:769222.1812 color:757908.4643 leather:755712.0302 cute:747279.9199 toe:697499.0353 fabric:684772.1596 ordered:662068.3081 foot:643527.4126 wears:590761.4327 jewelry:566964.0952 fits:558114.8818 watches:546883.6779 sole:541411.1569 watch:535492.7215 boot:531338.0285 pairs:518510.2116 waist:496176.6289 shirts:496126.9939 slippers:493077.8727 ring:482617.7937 warm:464109.1892 sandal:445881.8374 soles:427423.2748 stylish:421042.3259 pendant:403729.5307 arch:364058.4668 narrow:354762.2057 tight:351299.2441 outfit:351054.7695 leggings:351050.2515 material:345988.1906 sizes:345607.4781 colors:345192.4764 nice:344821.2445 reading:344208.4954 jacket:339649.9556 characters:339140.0119 ankle:332483.6518 wrist:328197.2147 quality:326121.2822 hat:320947.9945 sneakers:314646.3766 author:313897.6607 wallet:309620.6573 walking:309222.0395 flattering:302731.4765 bras:301758.1776 dressy:298714.3673 soft:295934.9821 casual:289385.0793 medium:288327.1844	
Digital_Music music:1513702.677 lyrics:1118117.049 listen:900118.6086 albums:524249.2398 heard:518506.7247 voice:476037.2472 listening:400755.8971 tracks:398692.499 vocals:381551.2476 track:376969.7285 catchy:369768.4571 rock:309135.6724 band:302609.5735 rap:286144.7127 sing:280748.5356 singer:242609.4934 artist:234277.4624 singing:223033.1758 tune:221627.3997 hear:194639.4686 dance:190042.4912 sounds:186078.2623 listened:173781.6943 melody:169713.7372 sound:167168.7927 eminem:161829.0929 upbeat:159321.1914 hop:155332.5949 pop:143363.5059 sings:140930.3811 beats:136301.9285 radio:130906.5013 vocal:122350.8903 classic:120960.8884 record:120767.7941 musical:118252.9168 artists:117724.307 mp:117119.5625 soulful:115229.2465 beat:108493.9607 rapper:108197.8871 tunes:107781.4801 hip:106876.0122 playlist:105541.5104 download:105006.8331 chorus:102691.6347 jazz:100925.0595 rappers:100813.7571 favorite:93197.85453 hits:90133.64092 melodies:89878.98418 soul:88319.60992 piano:88265.07377 remix:86985.33905 ballad:86408.70999 funk:85137.78824 blues:84788.95736 bands:84599.80849 sung:82303.19969 talent:81783.37578 solo:81722.44291 recording:80504.674 instrumental:80137.91522 debut:79410.46944 ep:76980.92852 love:73942.43676 fan:73780.85423 songwriter:71991.21346 mellow:70603.71006 rendition:70119.56426 singles:69911.49805 version:69030.33198 quot:68749.02002 hearing:66633.74689 lyrically:66492.67548	
Electronic cable:3153958.03 usb:2583662.274 computer:2488720.114 ipad:1763852.009 screen:1661796.324 speakers:1622171.513 works:1589423.528 keyboard:1583634.154 battery:1574153.414 gb:1562458.887 sound:1551958.744 headphones:1524923.048 hdmi:1472656.173 tv:1467469.605 sony:1429588.748 ipod:1418341.392 device:1407711.266 wireless:1368544.896 adapter:1367856.103 tablet:1335555.809 drive:1225407.917 plug:1209633.686 card:1153472.39 cables:1146256.414 pc:1120474.704 software:1105843.736 lens:1087916.524 windows:1057384.007 hd:1051629.285 router:1020290.648 unit:990866.6588 remote:983998.7048 price:968915.8817 mouse:901025.7048 port:875107.2509 plugged:861195.0839 signal:849799.8484 macbook:811942.1176 cord:810883.6449 player:801151.6021 quality:796514.7596 canon:782974.7366 setup:781591.2904 speaker:779002.5978 cameras:753309.9003 sd:723805.715 video:704779.6088 audio:700183.0166 mp:682633.7042 receiver:677336.1727 external:675780.7778 apple:665045.8226 nikon:661901.5408 devices:656166.0057 charger:651527.3639 lcd:648288.6966 antenna:628712.9344 desktop:624418.3023 logitech:613072.0704 charge:611489.479 dell:609942.283 ports:592125.5488 flash:590026.9057 connect:588579.9356 worked:581561.4983 monitor:565000.036 zoom:562666.5181 power:553590.0628 samsung:552738.088 gps:551173.0807 mac:551140.7256 bluetooth:550662.0726 system:546147.1257 asus:545590.6347 files:538927.1025	
Grocery_and_Gourmet_Food tea:2079542.799 tastes:1860009.799 delicious:1745823.96 flavors:1695319.002 chocolate:1667101.182 sugar:1613053.748 tasted:1550874.608 snack:1485249.308 tasty:1351257.025 tasting:1276370.818 sauce:897879.0934 drink:876615.8692 gluten:811062.5651 flavored:797849.9632 teas:751470.6313 coconut:750617.7238 organic:735982.1132 milk:698915.2089 syrup:692281.61 eat:670800.5346 grocery:664732.7233 flavorful:654618.8401 cup:634386.1742 calories:613782.8404 decaf:610475.2 keurig:599825.3775 coffees:597360.9808 cereal:594169.7641 salty:578820.1248 candy:564689.1086 roast:525551.8698 cinnamon:504167.2399 spicy:488307.4071 crackers:482983.4735 salt:482401.7988 vanilla:477626.0393 cookies:463500.0274 chewy:455759.5929 aftertaste:450126.11 butter:442557.4205 sweetener:431032.9224 crunchy:424279.2209 texture:408777.0551 yummy:396618.1364 peanut:396370.7667 candies:394971.8267 beans:381200.7232 seasoning:381175.7836 sweet:374800.643 bitter:369537.007 sodium:362394.7551 caffeine:355252.8027 aroma:352317.9082 oatmeal:349221.9912 cups:341890.0224 honey:337898.8434 fruit:326312.4024 caramel:319932.207 stevia:317181.2943 breakfast:316162.9562 almonds:311720.8228 fresh:304331.2698 flavoring:302727.541 rice:298997.8162 corn:297747.0079 chai:294898.6598 popcorn:290485.7869 pasta:288122.4765 starbucks:280711.77 cheese:277582.1467 noodles:273031.2416 granola:271123.7341 healthy:262507.2501 licorice:262326.4461 hazelnut:258093.5564	
