Apps_for_Android games:3095.915129 play:2568.78361 kindle:1532.289655 graphics:1386.596765 addictive:1301.5554 coins:1102.039714 challenging:1041.983462 levels:980.1307419 addicting:979.2307393 fire:972.841722 ads:830.0824027 playing:676.1441286 free:621.5489259 puzzles:611.108826 bingo:558.1338847 apps:511.468651 calculator:410.1276376 mahjong:350.3855928 download:314.3758612 hints:297.0460861 apos:288.8577202 faotd:288.8577202 facebook:274.0245578 downloaded:251.4449571 minecraft:209.9137907 sudoku:209.446428 freezes:208.5991956 flappy:202.1927083 zynga:202.1927083 bought:199.1902956 author:188.5275781 puzzle:184.4417971 upgrades:184.2634538 developer:181.409432 series:181.1140984 solitaire:178.3445849 quality:177.9655596 played:176.8911984 android:175.8247005 characters:175.0339481 unlock:173.2195881 price:169.663483 deleted:167.4326537 awesome:165.4268568 permissions:163.7288928 skittles:160.765431 years:156.0561478 gameplay:154.1638869 ai:153.6923277 made:147.1170287 fit:147.0672833 reading:146.9961132 good:141.4740852 back:138.9201541 earn:130.67033 written:129.9703269 uninstall:127.2910632 addicted:124.5267708 bored:123.3922792 size:117.8376752 end:117.3356554 freecell:115.5342932 gameloft:115.5342932 springpad:115.5342932 repeat:114.7070677 put:110.4892727 feel:109.9691844 great:108.0480877 ur:107.7976254 light:106.4087078 challenge:105.1010436 downloading:103.4784727 hdx:101.3811272 logos:101.3811272 multiplayer:100.4486856	
Automotive engine:1303.232187 oem:1296.587097 honda:1284.675758 helmet:1076.613066 exhaust:936.2237504 tire:842.9136082 vehicle:825.6526962 jeep:808.2162661 headlights:769.52714 headlight:720.7632662 mats:641.6730684 wipers:622.685176 installed:613.2732739 bumper:597.9021079 factory:548.735873 toyota:542.9860952 hubs:521.7103451 shocks:516.950838 wiper:501.4666841 ford:486.3177793 grease:484.1409714 dealer:460.1128815 windshield:454.7001753 muffler:451.0210268 tranny:429.0977133 mirror:412.1298888 fit:409.372886 lights:404.5362353 dealership:397.0329782 acdelco:394.6383917 tensioner:394.6383917 hitch:380.7601154 camry:376.0809258 torque:358.5613163 dodge:353.6490888 nissan:349.8809651 resistor:343.5650137 altima:338.2571872 crv:338.2571872 detailer:338.2571872 filter:335.3814023 chevy:326.437263 shield:292.7742651 gasket:287.365451 civic:282.5914706 acura:281.8774132 arai:281.8774132 ballmount:281.8774132 maf:281.8774132 meguiar:281.8774132 installation:278.0389333 gmc:272.0728232 bolt:267.6986996 cars:260.5760622 cargo:256.4743442 subaru:250.9331838 harley:247.4508111 trailer:246.7936042 fuel:242.74101 bolts:237.6579215 gas:236.5009743 alternator:233.2369877 integra:233.2369877 passenger:232.5129441 decal:231.0475602 delco:225.4990698 kensun:225.4990698 mpg:225.4990698 winch:225.4990698 atv:221.5306591 kia:221.5306591 motorcycle:216.986524 visor:213.7150594 socket:209.6745308 cab:207.3256561	
Baby gate:5278.355298 seat:4583.780719 diaper:3217.236213 crib:2929.091462 pacifiers:2728.772119 tub:2196.298272 diapers:1720.112202 nipple:1662.087048 infant:1621.461941 avent:1616.488964 latch:1591.495974 pacifier:1531.391166 sippy:1519.681901 medela:1448.915465 carseat:1446.295528 graco:1446.295528 newborn:1398.67473 strollers:1191.021569 straw:1175.984384 bottles:1158.938482 britax:1141.270764 swaddle:1020.849725 teether:1020.849725 babies:921.6489384 teething:903.0235078 bath:833.0069731 toddler:811.6501839 daughter:789.2988638 bassinet:788.4414187 recline:788.4414187 bouncer:748.5594568 chair:707.0945042 boppy:687.2570271 son:668.9130208 nursery:636.0893502 blanket:635.5885476 breast:631.2246851 mam:623.1536572 tray:607.5026051 soother:603.1482859 diapering:595.4578984 playard:595.4578984 prefolds:595.4578984 bib:560.5119868 monitor:555.7477703 pump:549.8381282 bottle:535.5230651 potty:528.7110649 highchair:510.3860092 prefold:510.3860092 ergo:492.2451033 playtex:485.7991777 swaddled:460.0394321 carrier:458.9320536 naps:457.0104381 breastfeeding:434.0831674 wipes:427.1792786 months:426.0281162 blankets:425.9820367 chicco:425.3162785 sleepsacks:425.3162785 swaddling:425.3162785 teethers:425.3162785 swing:398.0920427 toys:376.9078636 nipples:353.2884341 combi:352.7698946 reclined:352.7698946 rattle:351.637152 ameda:340.2487062 bobee:340.2487062 brezza:340.2487062 brica:340.2487062 carseats:340.2487062 jenga:340.2487062	
Beauty shampoo:3855.536539 lotion:3668.406005 scent:2593.163606 conditioner:2487.433919 smells:2336.805205 acne:1916.49473 dry:1898.41987 fragrance:1876.01024 smell:1866.866443 perfume:1847.540069 mascara:1708.814304 lashes:1524.914911 brush:1463.949379 makeup:1434.843351 oily:1426.990665 moisturizer:1374.099707 curly:1318.570892 polish:1312.801887 serum:1310.920775 nail:1211.851334 greasy:1199.600012 curls:1124.725759 tanning:1102.334281 cream:1027.254059 cologne:1022.636053 nails:1017.661242 cleanser:1005.357908 face:968.5989138 dryer:917.0839286 frizzy:913.2309027 frizz:873.1034977 lipstick:841.3731825 gel:838.7897643 salon:838.7703655 products:823.4214784 spf:797.2655506 brushes:759.3443542 scalp:755.7237182 moisturizing:719.6601102 curl:668.9781221 color:666.8697024 bottle:654.8136228 eyeliner:645.5677924 straightener:645.5677924 shampoos:589.4888205 shiny:584.1553754 complexion:580.7902601 pores:580.7902601 clarisonic:569.6041856 opi:569.6041856 soap:551.6749523 redness:542.4973505 perfumes:527.187197 curling:510.7763487 comb:506.9489835 concealer:493.6444341 tan:491.926285 eyelashes:479.7125288 wig:467.0324491 fragrances:456.5343422 drying:448.8433355 wavy:447.45191 wash:423.8085167 eyeshadow:417.6885374 gelish:417.6885374 sunscreens:417.6885374 foundation:413.4438647 oil:408.8913838 apply:406.7409323 silky:399.101847 natural:387.5268431 eau:381.0546 olay:381.0546 polishes:378.9115481 moisturized:371.4177901	
Book author:8803.337891 reading:7989.202049 characters:6841.558213 written:4836.015219 series:4488.06108 reader:3527.516691 world:3423.979331 writing:3135.03785 stories:2996.041223 interesting:2891.984082 history:2793.195678 pages:2754.375198 character:2583.30144 chapter:2413.765285 enjoyed:2357.583893 page:2304.449488 information:2293.433515 god:2272.355549 people:2252.580741 readers:1924.6534 authors:1824.223537 plot:1749.861554 quality:1594.133517 war:1563.159067 price:1491.274583 romance:1471.883954 family:1431.639895 loved:1420.090789 mystery:1407.659318 man:1406.924746 recipes:1394.122715 chapters:1372.728553 understand:1354.276779 lives:1347.450588 end:1260.07908 fit:1252.871285 novels:1238.386427 writer:1193.847 children:1191.948224 human:1140.276358 fiction:1135.320715 ideas:1131.786515 relationship:1121.353934 learn:1113.740517 bible:1111.161985 women:1080.458401 ending:1051.927232 young:1044.892479 size:1043.034259 understanding:1031.814431 study:997.6496149 questions:995.3366411 guide:988.3343104 text:979.9334761 bought:973.8946298 things:973.2534302 subject:966.6465677 mr:956.7847369 events:951.2076352 examples:948.1733762 battery:947.6679355 mother:946.9991137 found:930.8716583 historical:924.092712 sound:917.9276489 felt:912.1027707 woman:906.1415211 father:898.2976205 sense:889.4219721 knowledge:887.3502 heart:868.7993299 interested:868.5280614 church:862.3884439 person:848.5506433 writes:840.4768602	
CDs_and_Vinyl quot:28214.07678 music:24140.06316 tracks:10878.81569 albums:9241.529294 band:9195.749908 rock:8941.746761 track:8696.936776 lyrics:8086.330433 listen:6966.926003 vocals:6730.542007 recording:4712.317335 sound:4647.688584 heard:4562.914326 record:4160.429435 listening:3753.886937 voice:3682.961899 jazz:3547.568822 blues:3483.011948 disc:3370.89324 sounds:3310.488959 recordings:3145.466532 singing:2910.915437 musical:2876.355391 vocal:2792.845737 cds:2604.451909 recorded:2527.068982 tunes:2521.944955 hear:2399.943244 hits:2360.474428 singer:2331.180068 pop:2271.745533 sing:2207.473928 concert:2196.828777 bands:2191.250073 solo:2187.436086 live:1968.170517 catchy:1957.885167 acoustic:1911.868186 release:1891.591917 melodies:1878.672585 instrumental:1854.13377 melodic:1852.916024 listened:1811.217822 fan:1696.234906 punk:1647.752051 chorus:1560.449703 artists:1558.376197 released:1545.535692 piano:1520.924961 orchestra:1511.710144 collection:1507.321115 sings:1464.642337 fans:1456.741513 melody:1445.294914 musicians:1400.95117 listener:1396.859929 soundtrack:1387.653751 classic:1289.895995 bass:1283.862124 compilation:1273.797407 records:1273.05226 favorite:1272.079032 guitars:1256.047033 production:1255.898932 metal:1249.562158 dance:1243.946286 ballad:1235.171443 instruments:1216.315239 musically:1208.750111 riffs:1203.348353 drums:1197.177156 songwriting:1193.779045 arrangements:1165.815271 hop:1153.465891 ballads:1146.227232	
Cell_Phones_and_Accessorie iphone:6016.314817 screen:3993.352231 protector:3111.793085 charger:2949.04656 battery:2272.166121 charge:2103.557451 otterbox:1932.987121 galaxy:1880.156998 dropped:1397.45731 headset:1349.161963 nokia:1267.253039 protection:1245.246899 charging:1091.083638 protects:1087.047368 cases:1069.152732 samsung:1052.711622 phones:1019.274314 bluetooth:986.8167921 fits:958.7315239 htc:941.4961293 protectors:937.9247347 verizon:888.8647636 cell:769.5480689 otter:750.496143 buttons:722.3732715 ear:680.8800872 droid:647.3727481 blackberry:646.2727329 motorola:640.6888102 lg:629.3203631 cover:626.7562594 sim:512.2552136 jawbone:511.8019371 pocket:503.8848003 protective:500.9100632 bubbles:492.4020554 mah:480.7166256 stylus:477.0037256 sprint:473.5331882 mobile:446.5962634 headsets:445.5210847 chargers:441.335269 fit:417.4530055 charges:409.7085578 charged:409.411327 protect:396.7170032 rubber:396.5505524 edges:382.3004974 protected:379.7818146 clip:369.6821879 kickstand:368.8869678 bulky:364.6605739 slim:332.2499496 defender:314.4802488 lifeproof:311.0046763 usb:303.685719 speaker:292.0558837 holster:288.2055992 perfectly:287.4825514 zagg:287.2323904 unlocked:286.4203611 button:283.6473533 drop:283.4763935 iphones:274.9041207 characters:269.5232345 scratches:268.2004414 plantronics:267.9361587 lumia:264.4587849 texting:261.6417157 broke:258.9659341 gs:258.6716712 reading:257.7088545 smartphone:248.1510389 cracked:244.3870796 nfc:242.9810483	
Clothing_Shoes_and_Jewelry shoe:6465.664158 size:5493.504461 comfortable:4919.651163 boots:3405.047915 fit:3390.78424 shirt:3277.733126 pair:3223.974692 watch:2420.919802 dress:2324.563418 earrings:2013.451016 wearing:1889.002366 bra:1848.433937 worn:1603.970524 sandals:1557.104089 jeans:1472.177441 feet:1433.587273 socks:1403.174119 bracelet:1375.428316 ring:1323.366132 costume:1189.572485 pants:1186.046079 watches:1173.887744 heel:1164.232103 leather:1121.972953 cute:1021.830757 wore:1021.244615 necklace:1005.708007 sole:974.0626911 sizing:873.0589109 compliments:860.8485251 slippers:860.5867136 waist:854.9650388 toe:813.1919484 shirts:756.8101455 ordered:726.1306653 jacket:720.4661935 color:712.6045917 fabric:706.2497748 foot:696.5543324 leggings:670.1289153 comfy:660.465908 sandal:632.4151003 boot:630.8575176 wallet:606.5225541 bag:601.0193 fits:599.7320089 jewelry:596.877696 yaktrax:546.9046944 sizes:544.8894486 microspikes:534.1792004 pairs:526.9740453 hat:522.815779 arch:510.5586897 tight:502.6927112 wears:500.09362 quot:496.022459 soles:481.0437561 sneakers:474.4490287 characters:468.2857516 bras:452.1193229 series:427.7767621 casual:425.5617556 reading:424.2174423 sweater:422.7663491 clasp:413.6743257 warm:410.9992485 flattering:410.6823495 skirt:406.5753461 soft:404.642024 outfit:389.5046986 stylish:388.6311424 colors:384.3264076 pendant:381.9796837 calves:379.7639014 material:379.6163073	
Digital_Music music:1974.074716 fogelberg:1772.995523 quot:1708.504409 cher:1250.853248 lyrics:1151.717221 listen:927.0141136 albums:727.2971492 heard:680.1518037 atdi:661.7162933 disinhairited:653.1094314 chrissie:625.3314021 mayer:593.6703863 voice:576.5842041 finlandia:559.800982 santigold:559.800982 tori:493.8071101 gaucho:492.3189018 engelina:466.4949 larrieux:466.4949 catchy:466.0717744 vocals:465.8788706 band:465.5935976 rock:456.7585429 tracks:428.2386409 quik:419.7275336 chaka:410.5601588 singer:403.6955078 babyface:387.085675 mp:384.2195899 ewf:373.1911855 katchen:373.1911855 mezzanine:373.1911855 mmw:373.1911855 upbeat:368.628591 orb:365.2892676 track:360.1359804 listening:358.0684578 spits:342.8753676 playlist:338.6120683 sing:329.0704465 jazz:313.900285 broadway:306.8535716 toni:299.9344183 reissue:297.8998314 malkmus:296.9587785 pharrell:296.9587785 slowdive:296.9587785 artist:294.3805242 sings:288.5692234 singing:287.3896462 amel:279.8898384 bigbang:279.8898384 branigan:279.8898384 bts:279.8898384 goldsby:279.8898384 hhid:279.8898384 intuiton:279.8898384 nastradamus:279.8898384 schneiderhan:279.8898384 tronco:279.8898384 whitford:279.8898384 sounds:256.7236752 ballad:256.4009987 corrs:246.1407133 godsmack:246.1407133 hiatt:246.1407133 hynde:246.1407133 norah:231.8929228 hear:230.7719482 illmatic:228.2884127 recording:223.3641475 skit:219.6142964 beat:216.8473415 sung:214.2999204 aic:209.8451293	
Electronic cable:6431.661179 tv:5006.699373 usb:4534.444177 computer:4157.155919 keyboard:4135.791843 sound:3584.35637 ipad:3570.534513 ipod:3494.926193 screen:3364.888991 lens:3214.708492 drive:3138.634679 device:3091.66686 speakers:3080.480101 headphones:3046.344619 battery:3033.13176 card:2968.978919 hdmi:2806.096055 gb:2638.623286 adapter:2449.509619 tablet:2374.550821 mouse:2328.130034 remote:2164.049323 works:2111.7749 player:2049.813199 hd:2039.301772 wireless:2036.512453 pc:2034.152418 router:1970.219796 cables:1892.887678 unit:1883.240874 plug:1832.459503 sony:1809.106007 windows:1676.83322 port:1572.517888 video:1530.936666 software:1484.222752 canon:1481.665188 speaker:1459.925012 quality:1329.303448 audio:1308.997141 cord:1265.728371 apple:1259.780672 plugged:1256.40835 nikon:1240.316719 receiver:1199.544536 monitor:1197.740914 price:1196.842466 signal:1146.773974 external:1123.295445 setup:1106.564641 antenna:1089.689536 lcd:1076.29983 logitech:1054.504071 gps:1042.061001 sd:1040.627832 cameras:1040.436567 mp:1020.602295 drives:986.5475566 power:961.4574872 system:933.9397105 devices:925.9050718 ports:899.553616 zoom:890.9426175 radio:881.180535 flash:870.0090464 mode:864.3687543 ear:858.3478415 desktop:857.9375895 tripod:855.8304577 ram:835.538751 bass:834.3590972 mac:830.791078 roku:828.620823 mount:827.1865572 charger:814.0834965	
Grocery_and_Gourmet_Food tea:5745.122964 chocolate:3269.198956 flavors:2646.812591 snack:2506.931146 sugar:2259.953361 tastes:1950.629716 delicious:1903.60212 tasting:1677.342865 flavored:1631.657394 sauce:1491.259862 organic:1379.028189 butter:1376.506172 gluten:1348.314242 teas:1288.069786 cocoa:1280.432581 stevia:1233.32461 peanut:1191.645851 drink:1190.037168 crackers:1131.760021 coconut:1130.996949 tasted:1086.49944 spicy:1077.260168 sweetener:1034.707558 cookies:993.0673875 corn:990.6465494 cereal:980.4618971 creamy:951.7660514 salty:915.8392751 texture:904.8390296 salt:893.5750624 soup:891.0005045 milk:866.5797542 cinnamon:858.6219562 cup:843.121284 coffees:842.8797572 tasty:806.9359568 bitter:788.2639568 tofu:787.823162 rice:785.2361332 seasoning:759.7071627 chewy:731.3556922 candy:714.9292259 flavorful:709.2061895 grocery:685.8522889 almonds:684.4198693 crunchy:680.8026783 chia:665.1916065 keurig:654.765825 granola:652.9531432 roast:650.3873266 eat:634.4371819 candies:632.1036673 flour:624.9994564 chai:611.5437233 hazelnut:611.5437233 vanilla:603.3272583 ginger:599.6943208 oatmeal:595.4371964 seeds:581.420587 sodium:553.0720188 darjeeling:541.6948295 matcha:538.0629733 tazo:538.0629733 pasta:529.0011077 breakfast:528.0434281 chips:525.8652508 chocolates:522.579874 starbucks:520.3897533 flax:512.0396809 calories:510.3301078 oil:502.1560386 honey:502.0713792 beans:495.6229997 ghee:494.8971561 cups:492.8791277	
